Severity,Start_Lat,Start_Lng,City,County,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Year,Month,Day,Hour,Day_of_Week
2,40.804609,-73.261787,Brentwood,Suffolk,NY,US/Eastern,83.0,65.0,29.67,10.0,S,13.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,8,23,15,Tuesday
2,34.02425,-117.3353,Colton,San Bernardino,CA,US/Pacific,73.4,62.0,29.94,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2016,6,29,6,Wednesday
2,32.456761,-111.209457,Marana,Pima,AZ,US/Mountain,57.0,20.0,27.74,10.0,WNW,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,2,18,11,Thursday
2,35.667218,-78.798446,Apex,Wake,NC,US/Eastern,70.0,68.0,29.69,10.0,ENE,6.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,2022,10,11,17,Tuesday
2,25.807342,-80.206037,Miami,Miami-Dade,FL,US/Eastern,81.0,62.0,30.07,10.0,E,6.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,12,2,12,Friday
4,36.27441,-86.79694,Whites Creek,Davidson,TN,US/Central,55.9,87.0,30.05,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2016,9,27,4,Tuesday
2,32.481144,-93.724709,Shreveport,Caddo,LA,US/Central,87.0,53.0,29.71,10.0,SSW,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,12,10,13,Saturday
2,41.75183,-70.59216,Buzzards Bay,Barnstable,MA,US/Eastern,39.0,75.0,29.74,10.0,W,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2020,4,19,7,Sunday
2,37.552072,-77.477605,Richmond,Richmond City,VA,US/Eastern,78.0,32.0,30.16,10.0,SE,6.0,Fair,True,False,True,False,False,False,False,False,False,False,False,False,False,Day,2022,4,22,15,Friday
2,33.70543,-117.855026,Santa Ana,Orange,CA,US/Pacific,68.0,32.0,29.96,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,10,14,9,Thursday
2,34.15489,-118.288794,Los Angeles,Los Angeles,CA,US/Pacific,67.0,40.0,29.72,10.0,CALM,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,2019,10,28,18,Monday
2,25.973939,-80.229658,Hollywood,Broward,FL,US/Eastern,68.0,96.0,30.08,10.0,CALM,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,9,12,6,Sunday
4,37.34431,-79.402408,Goode,Bedford County,VA,US/Eastern,59.0,81.0,28.97,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,10,6,6,Thursday
2,42.212515,-88.17051,Barrington,Lake,IL,US/Central,34.0,89.0,29.12,1.0,CALM,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2023,1,25,7,Wednesday
2,34.0721333,-117.891916,West Covina,Los Angeles,CA,US/Pacific,63.0,67.0,29.05,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,11,14,11,Monday
2,25.891254,-80.186559,North Miami,Miami-Dade,FL,US/Eastern,66.0,94.0,30.14,0.5,N,3.0,Fog,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,2022,7,2,8,Saturday
2,41.12602800000001,-85.283348,Fort Wayne,Allen,IN,US/Eastern,54.0,59.0,30.04,10.0,NW,13.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,4,21,12,Friday
2,25.90057,-80.208839,North Miami,Miami-Dade,FL,US/Eastern,84.0,53.0,29.73,10.0,W,17.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,10,29,16,Friday
2,35.506505,-80.866039,Davidson,Mecklenburg,NC,US/Eastern,70.0,73.0,29.27,10.0,W,8.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2023,3,1,17,Wednesday
2,41.170199,-112.02014,Ogden,Weber,UT,US/Mountain,37.9,60.0,30.32,10.0,SW,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,12,19,17,Wednesday
2,34.842078,-80.988038,Rock Hill,York,SC,US/Eastern,56.0,45.0,29.09,10.0,NW,8.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2021,5,2,16,Sunday
